break_value,speed,timestamp
315,0,2024-04-12 07:43:30.461874+00:00
805,0,2024-04-12 07:43:31.269445+00:00
818,0,2024-04-12 07:43:32.293270+00:00
818,0,2024-04-12 07:43:33.308464+00:00
844,0,2024-04-12 07:43:34.343072+00:00
844,0,2024-04-12 07:43:35.261607+00:00
823,0,2024-04-12 07:43:36.290035+00:00
290,0,2024-04-12 07:43:37.310759+00:00
774,0,2024-04-12 07:43:38.334427+00:00
622,0,2024-04-12 07:43:39.361207+00:00
288,0,2024-04-12 07:43:40.382580+00:00
642,0,2024-04-12 07:43:41.401567+00:00
654,0,2024-04-12 07:43:42.236219+00:00
352,0,2024-04-12 07:43:43.361282+00:00
651,0,2024-04-12 07:43:44.231108+00:00
790,0,2024-04-12 07:43:45.299841+00:00
294,0,2024-04-12 07:43:46.430502+00:00
643,0,2024-04-12 07:43:47.450936+00:00
656,0,2024-04-12 07:43:48.271434+00:00
397,0,2024-04-12 07:43:49.289807+00:00
787,0,2024-04-12 07:43:50.336305+00:00
608,0,2024-04-12 07:43:51.340580+00:00
464,0,2024-04-12 07:43:52.316688+00:00
699,0,2024-04-12 07:43:53.394642+00:00
679,0,2024-04-12 07:43:54.418666+00:00
368,0,2024-04-12 07:43:55.442048+00:00
234,0,2024-04-12 07:43:56.252285+00:00
251,0,2024-04-12 07:43:57.280059+00:00
0,0,2024-04-12 07:43:58.303728+00:00
240,0,2024-04-12 07:43:59.323293+00:00
265,0,2024-04-12 07:44:00.351214+00:00
0,2,2024-04-12 07:44:01.276351+00:00
200,8,2024-04-12 07:44:02.401837+00:00
172,18,2024-04-12 07:44:03.423523+00:00
0,18,2024-04-12 07:44:04.232269+00:00
99,24,2024-04-12 07:44:05.228392+00:00
155,29,2024-04-12 07:44:06.285435+00:00
0,29,2024-04-12 07:44:07.229453+00:00
115,33,2024-04-12 07:44:08.445062+00:00
73,37,2024-04-12 07:44:09.364164+00:00
0,37,2024-04-12 07:44:10.386588+00:00
173,41,2024-04-12 07:44:11.408632+00:00
125,44,2024-04-12 07:44:12.437106+00:00
0,44,2024-04-12 07:44:13.253133+00:00
139,47,2024-04-12 07:44:14.282613+00:00
128,50,2024-04-12 07:44:15.294758+00:00
0,50,2024-04-12 07:44:16.323168+00:00
103,53,2024-04-12 07:44:17.350244+00:00
86,55,2024-04-12 07:44:18.372932+00:00
0,55,2024-04-12 07:44:19.296325+00:00
142,57,2024-04-12 07:44:20.228382+00:00
144,59,2024-04-12 07:44:21.233954+00:00
0,59,2024-04-12 07:44:22.226719+00:00
115,60,2024-04-12 07:44:23.287383+00:00
149,61,2024-04-12 07:44:24.314137+00:00
0,61,2024-04-12 07:44:25.228899+00:00
160,61,2024-04-12 07:44:26.232892+00:00
204,60,2024-04-12 07:44:27.384709+00:00
0,60,2024-04-12 07:44:28.304159+00:00
560,59,2024-04-12 07:44:29.328719+00:00
508,59,2024-04-12 07:44:30.251620+00:00
197,56,2024-04-12 07:44:31.270899+00:00
336,50,2024-04-12 07:44:32.303396+00:00
559,50,2024-04-12 07:44:33.321209+00:00
356,43,2024-04-12 07:44:34.349615+00:00
725,35,2024-04-12 07:44:35.372774+00:00
465,35,2024-04-12 07:44:36.397620+00:00
182,27,2024-04-12 07:44:37.419569+00:00
533,19,2024-04-12 07:44:38.379603+00:00
511,19,2024-04-12 07:44:39.266860+00:00
206,12,2024-04-12 07:44:40.289187+00:00
527,8,2024-04-12 07:44:41.325388+00:00
521,8,2024-04-12 07:44:42.338794+00:00
208,5,2024-04-12 07:44:43.231197+00:00
542,5,2024-04-12 07:44:44.229279+00:00
589,5,2024-04-12 07:44:45.305216+00:00
304,3,2024-04-12 07:44:46.327048+00:00
458,3,2024-04-12 07:44:47.250141+00:00
610,3,2024-04-12 07:44:48.274332+00:00
374,2,2024-04-12 07:44:49.401997+00:00
582,3,2024-04-12 07:44:50.414671+00:00
554,3,2024-04-12 07:44:51.243749+00:00
473,3,2024-04-12 07:44:52.271009+00:00
733,2,2024-04-12 07:44:53.288372+00:00
702,2,2024-04-12 07:44:54.313437+00:00
429,2,2024-04-12 07:44:55.338487+00:00
543,2,2024-04-12 07:44:56.315431+00:00
602,2,2024-04-12 07:44:57.291997+00:00
449,1,2024-04-12 07:44:58.301563+00:00
746,1,2024-04-12 07:44:59.333934+00:00
859,1,2024-04-12 07:45:00.359479+00:00
529,1,2024-04-12 07:45:01.389634+00:00
737,1,2024-04-12 07:45:02.409550+00:00
629,1,2024-04-12 07:45:03.326870+00:00
494,1,2024-04-12 07:45:04.247115+00:00
634,0,2024-04-12 07:45:05.375876+00:00
706,0,2024-04-12 07:45:06.297532+00:00
619,0,2024-04-12 07:45:07.425224+00:00
640,0,2024-04-12 07:45:08.241744+00:00
709,0,2024-04-12 07:45:09.269529+00:00
669,0,2024-04-12 07:45:10.287954+00:00
736,0,2024-04-12 07:45:11.233493+00:00
717,0,2024-04-12 07:45:12.490552+00:00
689,0,2024-04-12 07:45:13.242305+00:00
833,0,2024-04-12 07:45:14.283658+00:00
833,0,2024-04-12 07:45:15.304394+00:00
630,0,2024-04-12 07:45:16.330447+00:00
630,0,2024-04-12 07:45:17.248941+00:00
738,0,2024-04-12 07:45:18.379812+00:00
807,0,2024-04-12 07:45:19.403931+00:00
620,0,2024-04-12 07:45:20.429675+00:00
748,0,2024-04-12 07:45:21.354020+00:00
767,0,2024-04-12 07:45:22.236052+00:00
698,0,2024-04-12 07:45:23.300513+00:00
691,0,2024-04-12 07:45:24.232033+00:00
800,0,2024-04-12 07:45:25.245321+00:00
687,0,2024-04-12 07:45:26.262598+00:00
641,0,2024-04-12 07:45:27.297843+00:00
615,0,2024-04-12 07:45:28.316649+00:00
690,0,2024-04-12 07:45:29.439900+00:00
646,0,2024-04-12 07:45:30.256294+00:00
763,0,2024-04-12 07:45:31.433800+00:00
735,0,2024-04-12 07:45:32.309695+00:00
663,0,2024-04-12 07:45:33.331731+00:00
699,0,2024-04-12 07:45:34.355781+00:00
767,0,2024-04-12 07:45:35.380630+00:00
702,0,2024-04-12 07:45:36.300828+00:00
843,0,2024-04-12 07:45:37.429282+00:00
689,0,2024-04-12 07:45:38.244554+00:00
734,0,2024-04-12 07:45:39.329236+00:00
751,0,2024-04-12 07:45:40.295725+00:00
633,0,2024-04-12 07:45:41.420438+00:00
731,0,2024-04-12 07:45:42.445689+00:00
743,0,2024-04-12 07:45:43.260753+00:00
735,0,2024-04-12 07:45:44.234381+00:00
766,0,2024-04-12 07:45:45.233446+00:00
751,0,2024-04-12 07:45:46.229268+00:00
726,0,2024-04-12 07:45:47.254689+00:00
688,0,2024-04-12 07:45:48.283108+00:00
651,0,2024-04-12 07:45:49.236530+00:00
690,0,2024-04-12 07:45:50.535774+00:00
810,0,2024-04-12 07:45:51.248460+00:00
752,0,2024-04-12 07:45:52.272019+00:00
693,0,2024-04-12 07:45:53.304297+00:00
692,0,2024-04-12 07:45:55.543548+00:00
748,0,2024-04-12 07:45:55.544546+00:00
705,0,2024-04-12 07:45:56.265487+00:00
