break_value,accel_value,speed,timestamp
0.0,0.0,0.0,2024-05-10 06:41:15.421292+00:00
0.0,0.0,0.0,2024-05-10 06:41:16.608546+00:00
0.0,0.0,0.0,2024-05-10 06:41:17.432746+00:00
349.0,0.0,0.0,2024-05-10 06:42:31.811693+00:00
323.0,0.0,0.0,2024-05-10 06:42:32.596189+00:00
130.0,0.0,0.0,2024-05-10 06:42:33.615630+00:00
355.0,0.0,1.0,2024-05-10 06:42:34.712656+00:00
288.0,0.0,1.0,2024-05-10 06:42:35.667408+00:00
110.0,0.0,1.0,2024-05-10 06:42:36.586159+00:00
1.0,0.0,1.0,2024-05-10 06:42:37.550410+00:00
12.0,0.0,1.0,2024-05-10 06:42:38.740292+00:00
0.0,349.0,1.0,2024-05-10 06:42:39.755588+00:00
0.0,316.0,1.0,2024-05-10 06:42:40.581287+00:00
1.0,340.0,1.0,2024-05-10 06:42:41.601019+00:00
2.0,5.0,1.0,2024-05-10 06:42:42.638298+00:00
2.0,368.0,1.0,2024-05-10 06:42:43.649192+00:00
0.0,0.0,1.0,2024-05-10 06:42:44.674683+00:00
336.0,0.0,1.0,2024-05-10 06:42:45.743556+00:00
17.0,286.0,0.0,2024-05-10 06:43:25.702345+00:00
16.0,0.0,0.0,2024-05-10 06:43:25.703504+00:00
0.0,306.0,0.0,2024-05-10 06:43:25.745962+00:00
18.0,270.0,0.0,2024-05-10 06:43:25.750737+00:00
16.0,262.0,0.0,2024-05-10 06:43:25.929673+00:00
16.0,254.0,0.0,2024-05-10 06:43:26.172499+00:00
0.0,233.0,0.0,2024-05-10 06:43:26.760569+00:00
17.0,302.0,0.0,2024-05-10 06:43:26.835606+00:00
18.0,304.0,0.0,2024-05-10 06:43:26.835808+00:00
20.0,273.0,0.0,2024-05-10 06:43:26.938373+00:00
18.0,290.0,0.0,2024-05-10 06:43:26.938373+00:00
16.0,178.0,1.0,2024-05-10 06:43:27.576689+00:00
16.0,135.0,0.0,2024-05-10 06:43:27.713015+00:00
16.0,263.0,0.0,2024-05-10 06:43:28.046902+00:00
17.0,295.0,0.0,2024-05-10 06:43:28.047948+00:00
16.0,0.0,1.0,2024-05-10 06:43:28.607089+00:00
16.0,259.0,0.0,2024-05-10 06:43:28.740496+00:00
25.0,307.0,0.0,2024-05-10 06:43:29.069880+00:00
16.0,302.0,0.0,2024-05-10 06:43:29.070440+00:00
367.0,0.0,5.0,2024-05-10 06:43:29.631382+00:00
21.0,171.0,0.0,2024-05-10 06:43:30.089655+00:00
16.0,0.0,0.0,2024-05-10 06:43:30.094102+00:00
350.0,0.0,6.0,2024-05-10 06:43:30.651720+00:00
273.0,0.0,0.0,2024-05-10 06:43:31.119373+00:00
17.0,144.0,0.0,2024-05-10 06:43:31.119373+00:00
359.0,0.0,6.0,2024-05-10 06:43:31.573242+00:00
16.0,192.0,0.0,2024-05-10 06:43:31.832962+00:00
333.0,0.0,0.0,2024-05-10 06:43:32.144756+00:00
363.0,0.0,7.0,2024-05-10 06:43:32.609209+00:00
14.0,208.0,0.0,2024-05-10 06:43:32.827746+00:00
368.0,0.0,0.0,2024-05-10 06:43:33.089328+00:00
359.0,0.0,9.0,2024-05-10 06:43:33.626292+00:00
86.0,0.0,0.0,2024-05-10 06:43:34.180502+00:00
365.0,0.0,9.0,2024-05-10 06:43:34.648465+00:00
0.0,331.0,0.0,2024-05-10 06:43:35.129643+00:00
367.0,0.0,10.0,2024-05-10 06:43:35.580285+00:00
16.0,285.0,0.0,2024-05-10 06:43:36.331347+00:00
213.0,0.0,10.0,2024-05-10 06:43:36.592185+00:00
11.0,0.0,0.0,2024-05-10 06:43:37.315290+00:00
347.0,0.0,10.0,2024-05-10 06:43:37.613950+00:00
13.0,286.0,0.0,2024-05-10 06:43:37.967847+00:00
374.0,0.0,10.0,2024-05-10 06:43:38.743450+00:00
94.0,317.0,0.0,2024-05-10 06:43:38.999179+00:00
321.0,0.0,9.0,2024-05-10 06:43:39.556824+00:00
16.0,337.0,0.0,2024-05-10 06:43:40.023554+00:00
64.0,0.0,9.0,2024-05-10 06:43:40.590690+00:00
15.0,281.0,0.0,2024-05-10 06:43:41.049966+00:00
0.0,0.0,8.0,2024-05-10 06:43:41.607365+00:00
14.0,327.0,8.0,2024-05-10 06:43:42.637669+00:00
17.0,319.0,8.0,2024-05-10 06:43:43.657942+00:00
21.0,28.0,7.0,2024-05-10 06:43:44.686946+00:00
0.0,320.0,7.0,2024-05-10 06:43:45.711848+00:00
